date,price
2010/12/4,9700
2010/12/5,9700
2010/12/6,9850
2010/12/7,9750
2010/12/8,9650
2010/12/9,9800
2010/12/10,9800
2010/12/11,9800
2010/12/12,9800
2010/12/13,9900
2010/12/14,9950
2010/12/15,9950
2010/12/16,9900
2010/12/17,9850
2010/12/18,9850
2010/12/19,9850
2010/12/20,9850
2010/12/21,9850
2010/12/22,9930
2010/12/23,9970
2010/12/24,10100
2010/12/25,10100
2010/12/26,10100
2010/12/27,10100
2010/12/28,10200
2010/12/29,10200
2010/12/30,10150
2010/12/31,10250
2011/1/1,10500
2011/1/2,10450
2011/1/3,10470
2011/1/4,10550
2011/1/5,10500
2011/1/6,10600
2011/1/7,10700
2011/1/8,10700
2011/1/9,10700
2011/1/10,10600
2011/1/11,10600
2011/1/12,10600
2011/1/13,10650
2011/1/14,10650
2011/1/15,10600
2011/1/16,10600
2011/1/17,10600
2011/1/18,10550
2011/1/19,10600
2011/1/20,10600
2011/1/21,10600
2011/1/22,10600
2011/1/23,10600
2011/1/24,10700
2011/1/25,10750
2011/1/26,10400
2011/1/27,10550
2011/1/28,10550
2011/1/29,10550
2011/1/30,10550
2011/1/31,10650
2011/2/1,10650
2011/2/8,10700
2011/2/9,10750
2011/2/10,10850
2011/2/11,10850
2011/2/12,10850
2011/2/13,10850
2011/2/14,10850
2011/2/15,10850
2011/2/16,10680
2011/2/17,10650
2011/2/18,10600
2011/2/19,10500
2011/2/20,10500
2011/2/21,10480
2011/2/22,10530
2011/2/23,10300
2011/2/24,10280
2011/2/25,10200
2011/2/26,10400
2011/2/27,10400
2011/2/28,10400
2011/3/1,10380
2011/3/2,10450
2011/3/3,10500
2011/3/4,10500
2011/3/5,10500
2011/3/6,10500
2011/3/7,10500
2011/3/8,10500
2011/3/9,10430
2011/3/10,10250
2011/3/11,10230
2011/3/12,10200
2011/3/13,10200
2011/3/14,10150
2011/3/15,10100
2011/3/16,10000
2011/3/17,10000
2011/3/18,10200
2011/3/19,10300
2011/3/20,10300
2011/3/21,10300
2011/3/22,10300
2011/3/23,10300
2011/3/24,10200
